Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude
"MULTILINESTRING ((-73.94301636799997 40.84034427200004, -73.94232435799995 40.842056882000065))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Manhattan,Irving Cancer Center Way,Fort Washington Avenue,Group,"The Herbert Irving Comprehensive Cancer Center at New York Presbyterian Hospital provides state of the art care for patients with various types of cancer, as well as supporting community programs, such as providing free mammograms for uninsured women.  F",between the north side of West 165th Street and the south side of West 168th Street,10032,Jackson,,"MULTILINESTRING ((-73.94301636799997 40.84034427200004, -73.94232435799995 40.842056882000065))",POINT (-73.94267036299996 40.84120057700005),40.84120057700005,-73.94267036299996
"MULTILINESTRING ((-73.93000312799995 40.59939431600003, -73.93129058799997 40.598563401000035))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Brooklyn,Veterans Memorial Way,Whitney Avenue,Group,This street co-naming will honor and recognize the lives of all individuals for their esteemed military service.  The location has been chosen because it is part of the route for many parades honoring the nation’s veterans.  Among these groups are the,Between Gerritsen Avenue and Burnett Street,11234,Fidler,,"MULTILINESTRING ((-73.93000312799995 40.59939431600003, -73.93129058799997 40.598563401000035))",POINT (-73.93064685799996 40.59897885850003),40.59897885850003,-73.93064685799996
"MULTILINESTRING ((-73.92799766599995 40.86617159800005, -73.92733516099997 40.86562393000003))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,Quisqueya Plaza,,Group,"This plaza’s name will honor the large Dominican American community of the surrounding Washington Heights and Inwood neighborhoods. Quisqueya, meaning “cradle of life,” is one of two aboriginal names for the island called La Isla Española (Hispani",Plaza at Dyckman Street between Broadway and Seaman Avenue,10034,Rodriguez,,"MULTILINESTRING ((-73.92799766599995 40.86617159800005, -73.92733516099997 40.86562393000003))",POINT (-73.92766641349996 40.86589776400004),40.86589776400004,-73.92766641349996
"MULTILINESTRING ((-73.98105859999998 40.57478417900006, -73.98086587899996 40.573504445000026))",Int. No. 825,10/10/2008,2008,2008/048,Street,Brooklyn,Polar Bear Club Walk,West side of Stillwell Avenue,Group,The Polar Bear Club is the oldest winter bathing organization in the United States.  Members of the Club swim in the Atlantic Ocean at Coney Island every Sunday from October through April.,Between Bowery Street and the Boardwalk,11224,"Recchia, Jr.",,"MULTILINESTRING ((-73.98105859999998 40.57478417900006, -73.98086587899996 40.573504445000026))",POINT (-73.98096223949997 40.574144312000044),40.574144312000044,-73.98096223949997
"MULTILINESTRING ((-73.92304899799996 40.760793024000066, -73.92480316299998 40.75862525300005))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Queens,"Stanley, Kathleen & Robert Rygor Way",34th Street,Male/Female,"Stanley Rygor (April 9, 1926 – December 25, 2019) Kathleen Rygor (August 31, 1929 – April 8, 2021) and Robert Rygor (June 17, 1953 – January 16, 1994) were very involved in the LGBT community. Robert was a well-known LGBT community activist and pro",Between Broadway and 34th Avenue,11106,Dromm,,"MULTILINESTRING ((-73.92304899799996 40.760793024000066, -73.92480316299998 40.75862525300005))",POINT (-73.92392608049997 40.75970913850006),40.75970913850006,-73.92392608049997
"MULTILINESTRING ((-73.74692978999997 40.77192408700006, -73.74634506799998 40.77198705600006, -73.74587413099994 40.77203777200003, -73.74553427299998 40.77207437200008, -73.74533521699993 40.77207744800006, -73.74523060999996 40.77205256500008, -73.74517562499994 40.772012447000066, -73.74511460499997 40.77193576600007, -73.74509113499994 40.77185502300006))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Little Neck Road,38th Drive,Misc,"Sometime in the 1920’s streets throughout the area of Douglaston, Queens and Little Neck, Queens were given numerical designations in order to come “in line” with the New York City street grid.  In 1970-1971, a movement to re-instate the named stre",Between Circle Road and the intersection of Douglas Road and Cherry Street (also known as 39th Avenue),11363,Avella,,"MULTILINESTRING ((-73.74692978999997 40.77192408700006, -73.74634506799998 40.77198705600006, -73.74587413099994 40.77203777200003, -73.74553427299998 40.77207437200008, -73.74533521699993 40.77207744800006, -73.74523060999996 40.77205256500008, -73.74517562499994 40.772012447000066, -73.74511460499997 40.77193576600007, -73.74509113499994 40.77185502300006))",POINT (-73.74596051147346 40.77200607012264),40.77200607012264,-73.74596051147346
"MULTILINESTRING ((-73.94286767299997 40.83151921500007, -73.94154266199996 40.83095502500004))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Manhattan,Prince Hall Plaza,West 155th Street,Group,"Organized in 1812 in New York City, Prince Hall Mason is the third oldest African-American organization in New York. The founder Prince Hall was also one of the first black social activists of the Post-Revolutionary Era in nineteenth century Boston. Prin",between St. Nicholas Avenue and Amsterdam Avenue,10032,Jackson,,"MULTILINESTRING ((-73.94286767299997 40.83151921500007, -73.94154266199996 40.83095502500004))",POINT (-73.94220516749996 40.831237120000054),40.831237120000054,-73.94220516749996
"MULTILINESTRING ((-73.74523094599994 40.77160765700006, -73.74550855399997 40.771437029000026, -73.74573419599994 40.771335805000035, -73.74587769499993 40.77130939800003, -73.74619419499999 40.77128146800004, -73.74697270699994 40.77123373200004, -73.74710547599994 40.771217482000054, -73.74728317199998 40.77116111300006, -73.74756748599998 40.77111337700006, -73.74784576599995 40.77109154100003, -73.74858836799996 40.77103598200006, -73.74949459299995 40.77096818100006, -73.75017763599999 40.770914582000046))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Cherry Street,39th Avenue,Misc,"Sometime in the 1920’s streets throughout the area of Douglaston, Queens and Little Neck, Queens were given numerical designations in order to come “in line” with the New York City street grid.  In 1970-1971, a movement to re-instate the named stre",Between Douglaston Parkway and Little Neck Road (also known as 38th Drive),11363,Avella,,"MULTILINESTRING ((-73.74523094599994 40.77160765700006, -73.74550855399997 40.771437029000026, -73.74573419599994 40.771335805000035, -73.74587769499993 40.77130939800003, -73.74619419499999 40.77128146800004, -73.74697270699994 40.77123373200004, -73.74710547599994 40.771217482000054, -73.74728317199998 40.77116111300006, -73.74756748599998 40.77111337700006, -73.74784576599995 40.77109154100003, -73.74858836799996 40.77103598200006, -73.74949459299995 40.77096818100006, -73.75017763599999 40.770914582000046))",POINT (-73.74767190716521 40.77114881624438),40.77114881624438,-73.74767190716521
"MULTILINESTRING ((-73.94221301999994 40.84211613700006, -73.93992777799997 40.84115297000005))",Int. No. 2187,01/17/2021,2021,2021/014,Street,Manhattan,Healthcare Heroes Way,West 168th Street,Group,"This co-naming honors the thousands of dedicated medical and nursing professionals, EMT’s, social workers, administrators, custodial and food service staff, volunteers and others vital to the continuity of care during the COVID-19 pandemic, especially",Between Broadway and Fort Washington Avenue,10032,Rodriguez,,"MULTILINESTRING ((-73.94221301999994 40.84211613700006, -73.93992777799997 40.84115297000005))",POINT (-73.94107039899995 40.84163455350006),40.84163455350006,-73.94107039899995
"MULTILINESTRING ((-73.88883376899997 40.74342325200007, -73.88798340899996 40.74356474900003, -73.88623897999997 40.743781511000066))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Queens,Little Thailand Way,Woodside Avenue,Group,"This co-naming will commemorate the vibrant Thai community in Woodside, Elmhurst and Jackson Heights.",Between 76th Street and 79th Street,11373,Krishnan,,"MULTILINESTRING ((-73.88883376899997 40.74342325200007, -73.88798340899996 40.74356474900003, -73.88623897999997 40.743781511000066))",POINT (-73.8875380897379 40.743614189153206),40.743614189153206,-73.8875380897379
"MULTILINESTRING ((-73.98826665899998 40.64452014600005, -73.98680485499995 40.64362059600006, -73.98631455499998 40.64331887700007, -73.98461348999996 40.642289565000056, -73.98326355699999 40.64145883000003, -73.98311384599998 40.64138211900007, -73.98293442699998 40.641322821000074, -73.98279698399995 40.64125239700007, -73.98267049799995 40.64118758600006, -73.98243101999998 40.641040212000064, -73.98192991699995 40.640731834000064, -73.98021477999998 40.63969396600004))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Brooklyn,Martense Lane,36th Street,Group,"The Brooklyn Heritage Association has requested that this supplemental street name be added to honor a piece of road that had a historical role in the American Revolution.  At that time, and until the adoption of the modern street grid in the Town of Fla",Between Fort Hamilton Parkway and 15th Avenue,11218,DeBlasio,,"MULTILINESTRING ((-73.98826665899998 40.64452014600005, -73.98680485499995 40.64362059600006, -73.98631455499998 40.64331887700007, -73.98461348999996 40.642289565000056, -73.98326355699999 40.64145883000003, -73.98311384599998 40.64138211900007, -73.98293442699998 40.641322821000074, -73.98279698399995 40.64125239700007, -73.98267049799995 40.64118758600006, -73.98243101999998 40.641040212000064, -73.98192991699995 40.640731834000064, -73.98021477999998 40.63969396600004))",POINT (-73.98424832086826 40.64209276160124),40.64209276160124,-73.98424832086826
"MULTILINESTRING ((-73.83106856199998 40.65864878800005, -73.83038240399998 40.655900357000064))",Int. No. 824,12/26/2001,2001,2001/071,Structure,Queens,Rambersville-Hawtree Memorial Bridge,102nd Street Lenihan’s Bridge,Group,"The following material was provided by the Ramblersville-Hawtree Civic Association and drawn from the Tribune (November 9-15, 2000). 

Residents of the Ramblersville-Hawtree community have requested that the name of the “102nd Street-Lenihan’s Bridge",between 160th Avenue and 163rd Avenue,11414,"Stabile, Abel and Ognibene; also, Council Member Leffler",,"MULTILINESTRING ((-73.83106856199998 40.65864878800005, -73.83038240399998 40.655900357000064))",POINT (-73.83072548299998 40.65727457250006),40.65727457250006,-73.83072548299998
"MULTILINESTRING ((-73.89088206199995 40.82856865400004, -73.89090217799998 40.82688664700004))",Int. No. 388,07/09/2014,2014,2014/034,Street,Bronx,Dominican Sisters of Sparkill Place,Hoe Avenue,Group,This co-naming will commemorate the Dominican Sisters of Sparkill who opened St. John Chrysostom School in 1914.  The school is celebrating 100 years of service.,Between East 167th Street and Home Street,10459,Arroyo,,"MULTILINESTRING ((-73.89088206199995 40.82856865400004, -73.89090217799998 40.82688664700004))",POINT (-73.89089211999996 40.82772765050004),40.82772765050004,-73.89089211999996
"MULTILINESTRING ((-73.81834867799995 40.75378336500006, -73.81668839099996 40.75230011100007))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Queens,Ganesh Temple Street,Browne Street,Group,"The Hindu Temple Society of North America, aka the Ganesh Temple, has served the Flushing, Queens community for over 40 years. The temple is among the earliest – if not the first - Hindu Temples in North America. Built in the traditional architectural",Between Holly Avenue and 45th Avenue,11355,Koo,,"MULTILINESTRING ((-73.81834867799995 40.75378336500006, -73.81668839099996 40.75230011100007))",POINT (-73.81751853449995 40.753041738000064),40.753041738000064,-73.81751853449995
"MULTILINESTRING ((-73.98517097099995 40.670326095000064, -73.98304129699994 40.669304828000065))",Int. No.  1631,08/23/2019,2019,2019/158,Street,Brooklyn,Joe and Flo Leopoldi Way,7th Street,Male/Female,"Joe (August 18, 1931 – December 5, 1989) and Flo (September 19, 1935 – December, 19, 2018) Leopoldi were a Brooklyn born and raised, hard-working, compassionate couple who had a positive presence in, and impact on the Park Slope Community in Brooklyn",Between 5th Avenue and 6th Avenue,11215,Lander,,"MULTILINESTRING ((-73.98517097099995 40.670326095000064, -73.98304129699994 40.669304828000065))",POINT (-73.98410613399994 40.669815461500065),40.669815461500065,-73.98410613399994
"MULTILINESTRING ((-73.92210238999996 40.67970190400007, -73.92207300099994 40.67955879200008, -73.92204361099994 40.679415680000034, -73.92198732899993 40.679141610000045, -73.92173698899995 40.67892463800007))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Brooklyn,Ingram and Geneva Montgomery Way,Ralph Avenue,Male/Female,Ingram and Geneva Montgomery were very involved in the Bedford-Stuyvesant community.  They were one of the first families to move into the Brevoort Houses after it opened.  Ingram was the first tenant patrol captain and served at his post for over twenty,Between Sumpter Street and Fulton Street,11233,Mealy,,"MULTILINESTRING ((-73.92210238999996 40.67970190400007, -73.92207300099994 40.67955879200008, -73.92204361099994 40.679415680000034, -73.92198732899993 40.679141610000045, -73.92173698899995 40.67892463800007))",POINT (-73.92197785247583 40.67927922261057),40.67927922261057,-73.92197785247583
"MULTILINESTRING ((-73.98126693099994 40.75278321300004, -73.97831918299994 40.751533606000066))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Manhattan,Library Way,East 41st Street,Group,"During calendar year 2003, Grand Central Partnership has exciting plans to transform East 41st Street between Fifth Avenue and Park Avenue into a promenade to the majestic New York Public Library’s Humanities and Social Services Library.  With the assi",Between 5th Avenue and Park Avenue,10018,"Miller, Quinn and Moskowitz",,"MULTILINESTRING ((-73.98126693099994 40.75278321300004, -73.97831918299994 40.751533606000066))",POINT (-73.97979305699994 40.75215840950005),40.75215840950005,-73.97979305699994
"MULTILINESTRING ((-73.92867106199998 40.839822079000044, -73.92845052499996 40.84050524000003, -73.92806905499998 40.84124475900006, -73.92791230299997 40.841513313000064, -73.92778681799996 40.84179190000003, -73.92759817799998 40.84223903800006, -73.92709655299996 40.842848478000064, -73.92650145299996 40.84386231900004, -73.92571765199995 40.84534352900005, -73.92485378799995 40.846965864000026, -73.92464570899995 40.84736920800003, -73.92443431899994 40.84772133200005, -73.92381328299996 40.848612443000036, -73.92347707699997 40.84903242100006, -73.92246204199995 40.85009479400003, -73.92208996799997 40.85052593700004, -73.92109159099994 40.85173874100008, -73.92073123499995 40.85211588900006, -73.91933921399993 40.852615643000036, -73.91876304799996 40.85279372200006, -73.91818092099999 40.853064224000036))",Int. No. 1054,02/25/2016,2016,2016/023,Street,Bronx,Hip Hop Boulevard,At 1520 Sedgwick Avenue,Group,"This co-naming will commemorate Hip Hop music formed during the 1970’s during block parties which were popular in New York City, particularly in the Bronx.  During the 1980’s and on, Hip Hop became a part of the music scene in dozens of countries and",Between West 167th Street and West Tremont Avenue,10453,Gibson,,"MULTILINESTRING ((-73.92867106199998 40.839822079000044, -73.92845052499996 40.84050524000003, -73.92806905499998 40.84124475900006, -73.92791230299997 40.841513313000064, -73.92778681799996 40.84179190000003, -73.92759817799998 40.84223903800006, -73.92709655299996 40.842848478000064, -73.92650145299996 40.84386231900004, -73.92571765199995 40.84534352900005, -73.92485378799995 40.846965864000026, -73.92464570899995 40.84736920800003, -73.92443431899994 40.84772133200005, -73.92381328299996 40.848612443000036, -73.92347707699997 40.84903242100006, -73.92246204199995 40.85009479400003, -73.92208996799997 40.85052593700004, -73.92109159099994 40.85173874100008, -73.92073123499995 40.85211588900006, -73.91933921399993 40.852615643000036, -73.91876304799996 40.85279372200006, -73.91818092099999 40.853064224000036))",POINT (-73.9241760305264 40.84718689201009),40.84718689201009,-73.9241760305264
"MULTILINESTRING ((-73.93186433499994 40.75533913100003, -73.93272860199994 40.75427807900007))",Int. No. 1054,02/25/2016,2016,2016/023,Street,Queens,Ethnikos Kyrix - National Herald Way,30th Street,Group,"The National Herald – Ethnikos Kyrix was founded on April 2, 1915, as a progressive newspaper for the rapidly growing Greek immigrant population in New York.  It is one of the oldest continually published dailies in the United States.  The National Her",Between 37th Avenue and 38th Avenue,11101,Van Bramer,,"MULTILINESTRING ((-73.93186433499994 40.75533913100003, -73.93272860199994 40.75427807900007))",POINT (-73.93229646849994 40.75480860500005),40.75480860500005,-73.93229646849994
"MULTILINESTRING ((-73.82985937699993 40.65094262500003, -73.82738637999995 40.65130484900004))",Int. No. 1033,07/17/2009,2009,2009/046,Street,Queens,164th Drive,Moncriff Drive,Misc,"This section of the bill would rename what is now called “Moncriff Drive” in Queens, “as 164th Drive” and amend the official map of the City of New York accordingly.",Between 104th Street and Hawtree Basin,11414,Ulrich,,"MULTILINESTRING ((-73.82985937699993 40.65094262500003, -73.82738637999995 40.65130484900004))",POINT (-73.82862287849994 40.651123737000034),40.651123737000034,-73.82862287849994
