Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude,pct_female_named_streets,pct_female_pop
"MULTILINESTRING ((-73.73749733399995 40.696348826000076, -73.73578608499997 40.699606552000034))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Queens,Barbara DeCosta Waldon Place,222nd Street,Female,"Barbara DeCosta Waldon devoted her time and services to the community and utilized her extensive graphic artist background to create Images Plus, a graphics design and promotions firm that earned her a reputation for hard hitting advertising and politica",Between 115th and 116th Avenues,11411,Comrie,,"MULTILINESTRING ((-73.73749733399995 40.696348826000076, -73.73578608499997 40.699606552000034))",POINT (-73.73664170949996 40.697977689000055),40.697977689000055,-73.73664170949996,17.6%,51%
"MULTILINESTRING ((-73.86741386399996 40.765751013000056, -73.86684523599996 40.76606385800005))",Int. No. 988,07/29/2018,2018,2018/139,Street,Queens,Lynda McDougald Way,25th Avenue,Female,"Lynda McDougald was a resident of Corona and East Elmhurst, Queens. She was very active in her community.  In 1965, she moved to Curtis Street in East Elmhurst.  In her youth, she attended PS 127, Flushing High School and worshipped at the Corona Congreg",Between Ericsson Street and Curtis Street,11369,Moya,,"MULTILINESTRING ((-73.86741386399996 40.765751013000056, -73.86684523599996 40.76606385800005))",POINT (-73.86712954999996 40.765907435500054),40.765907435500054,-73.86712954999996,17.6%,51%
"MULTILINESTRING ((-73.99958086299995 40.73408314500006, -73.99940438599998 40.73411802000004))",Int. No. 565,10/20/2003,2003,2003/062,Street,Manhattan,Anna Sokolow Way,Christopher Street,Female,Anna Sokolow had a long and illustrious career in dance and choreography and received worldwide acclaim as a modern dancer and innovator of social themes.  She taught dance in Greenwich Village and was on the faculty of the Juilliard School of Music.   A,between  6th Avenue and Greenwich Avenue,10011,Quinn,,"MULTILINESTRING ((-73.99958086299995 40.73408314500006, -73.99940438599998 40.73411802000004))",POINT (-73.99949262449996 40.73410058250005),40.73410058250005,-73.99949262449996,26.5%,52%
"MULTILINESTRING ((-73.85986872699993 40.746330132000026, -73.85960855199994 40.74581805100007))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Queens,Nancy DeBenedittis MAMA’s WAY,104th Street,Female,"Nancy DeBenedittis, better known as Mama, was the owner of Leo’s Latticini, also known as Mama’s of Corona to the community.  Her parents opened the store back in the 1930’s and she continued the business with her husband since the 1940’s.  The s",Between 46th Avenue and 47th Avenue,11368,Ferreras,,"MULTILINESTRING ((-73.85986872699993 40.746330132000026, -73.85960855199994 40.74581805100007))",POINT (-73.85973863949994 40.74607409150005),40.74607409150005,-73.85973863949994,17.6%,51%
"MULTILINESTRING ((-73.93887436699998 40.72610739900006, -73.93850422199995 40.72387954800007))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Brooklyn,Catherine Fagan Street,Hausman Street,Female,Catherine Fagan started working in Manhattan 17 years earlier after losing her husband and having four children at home to support. She got her foot in the door working as a secretary. She then worked her way through college earning a degree in business.,Between Meeker Avenue and Nassau Avenue,11222,Yassky,,"MULTILINESTRING ((-73.93887436699998 40.72610739900006, -73.93850422199995 40.72387954800007))",POINT (-73.93868929449997 40.724993473500064),40.724993473500064,-73.93868929449997,22.1%,52%
"MULTILINESTRING ((-73.99216027599994 40.69715544700006, -73.99302573599994 40.695322505000036))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Brooklyn,Mary Anne Yancey Place,Monroe Place,Female,"Mary Anne Yancey was a leader and sustaining force to many organizations. She joined the Junior League of Brooklyn in the early 1960's, and became its president in 1968. The Yancey's were an early founding family of Saint Ann's School, where she was the",Between Pierrepont Street and Clark Street,11201,Restler,,"MULTILINESTRING ((-73.99216027599994 40.69715544700006, -73.99302573599994 40.695322505000036))",POINT (-73.99259300599994 40.696238976000046),40.696238976000046,-73.99259300599994,22.1%,52%
"MULTILINESTRING ((-73.95107652799999 40.79428412300007, -73.94798304699998 40.79295745500008, -73.94478823799994 40.791639786000076, -73.94208460099998 40.790480262000074, -73.93790986099998 40.78873360100005))",Int. No. 457,08/15/2024,2006,2006/050,Street,Manhattan,Julia de Burgos Boulevard,106th Street,Female,"Julia de Burgos was an exceptional poet and activist who was a vanguard in both these realms. Modern critics believe that de Burgos’s poetry anticipated the work of feminist writers and poets as well as that of other Hispanic authors.  

De Burgos was",From 5th Avenue to the East River,10029,Mark – Viverito,,"MULTILINESTRING ((-73.95107652799999 40.79428412300007, -73.94798304699998 40.79295745500008, -73.94478823799994 40.791639786000076, -73.94208460099998 40.790480262000074, -73.93790986099998 40.78873360100005))",POINT (-73.9444958647829 40.7915026033657),40.7915026033657,-73.9444958647829,26.5%,52%
"MULTILINESTRING ((-73.96450460499995 40.807417187000055, -73.96407545199997 40.80800797000006))",Int. No. 1188-A,12/17/2013,2013,2013/131,Street,Manhattan,Grace Gold Way,West side of Broadway,Female,Grace Gold was studying at Barnard College as a freshman when she was killed by a falling piece of masonry at Broadway and 115th Street.  This accident led to the City Council passing Local Law 10 which requires that the facades of buildings seven storie,Between 115th Street and 116th Street,10027,Dickens,,"MULTILINESTRING ((-73.96450460499995 40.807417187000055, -73.96407545199997 40.80800797000006))",POINT (-73.96429002849996 40.80771257850006),40.80771257850006,-73.96429002849996,26.5%,52%
"MULTILINESTRING ((-73.89510143699994 40.67332811400007, -73.89434505399998 40.67343593100003))",Int. No. 935,10/02/2012,2012,2012/048,Street,Brooklyn,Dorothy M. Allen Place,Glenmore Avenue,Female,"Dorothy M. Allen was a longtime active resident of East New York.  She owned her own business called Dot’s Candy Store located on the first level of her home.  After closing her candy store she had many jobs, such as working for the New York City Trans",Between Vermont Street and New Jersey Avenue,11208,Dilan,,"MULTILINESTRING ((-73.89510143699994 40.67332811400007, -73.89434505399998 40.67343593100003))",POINT (-73.89472324549996 40.67338202250005),40.67338202250005,-73.89472324549996,22.1%,52%
"MULTILINESTRING ((-73.78982652599996 40.67509880100005, -73.78924314599993 40.67433087300003, -73.78812332299998 40.673339164000026))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Queens,D’Aja Naquai Robinson Way,Sutphin Boulevard,Female,"D’Aja Naquai Robinson was 14 years old when she was killed by a stray bullet while riding a Q6 bus on Sutphin Boulevard in Jamaica, Queens.  She was the unintended victim of a gang dispute.  It served as the impetus for the launch of the city’s Gun V",Between 125th Avenue and Rockaway Boulevard,11434,Wills,,"MULTILINESTRING ((-73.78982652599996 40.67509880100005, -73.78924314599993 40.67433087300003, -73.78812332299998 40.673339164000026))",POINT (-73.78901705717631 40.67417990207102),40.67417990207102,-73.78901705717631,17.6%,51%
"MULTILINESTRING ((-73.94155216399997 40.843391620000034, -73.93938627999995 40.842491205000044))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Manhattan,Mary Jane Matos Way,West 170th Street,Female,Mary Jane Matos volunteered for the deaf and blind in high school and volunteered in the Jr. Red Cross at East 19th Street Hospital.  She became an Auxiliary Police Officer in the 34th Precinct for five years.  She also worked for the Board of Education,Between Broadway and Fort Washington Avenue,10032,Rodriguez,,"MULTILINESTRING ((-73.94155216399997 40.843391620000034, -73.93938627999995 40.842491205000044))",POINT (-73.94046922199996 40.84294141250004),40.84294141250004,-73.94046922199996,26.5%,52%
"MULTILINESTRING ((-73.95509325699999 40.58180260000006, -73.95470970099996 40.580617009000036, -73.95445220899995 40.57965955900005, -73.95432379599998 40.57918206800008, -73.95420299399996 40.57849227200006, -73.95408206399998 40.57756534200007, -73.95395331799995 40.57732495100004, -73.95341687599995 40.57459502700004))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Brooklyn,Margaret Corbin Way,Corbin Place,Female,"Margaret Corbin has been an unsung hero of the Revolutionary War.  She was born in Franklin County, Pennsylvania.  In 1776, at the outbreak of the Revolutionary War, she accompanied her husband, John Corbin, to his post in charge of a small cannon on a r",Between Cass Place and the Boardwalk,11235,Deutsch,,"MULTILINESTRING ((-73.95509325699999 40.58180260000006, -73.95470970099996 40.580617009000036, -73.95445220899995 40.57965955900005, -73.95432379599998 40.57918206800008, -73.95420299399996 40.57849227200006, -73.95408206399998 40.57756534200007, -73.95395331799995 40.57732495100004, -73.95341687599995 40.57459502700004))",POINT (-73.95418022077034 40.578216734896955),40.578216734896955,-73.95418022077034,22.1%,52%
"MULTILINESTRING ((-73.97188634799994 40.57964347500007, -73.97340555099998 40.57493669100006))",Int. No. 613,05/09/2005,2005,2005/043,Street,Brooklyn,Marsha Rapaport Way,West 5th Street,Female,"Marsha Rapaport lived in the shorefront community for over 30 years and raised her family there.  For over 25 years, Marsha was very active in many local organization dedicated to improving her community including District Leader and State Committeewoman",Between Surf and Neptune Avenues,11224,Recchia,,"MULTILINESTRING ((-73.97188634799994 40.57964347500007, -73.97340555099998 40.57493669100006))",POINT (-73.97264594949996 40.577290083000065),40.577290083000065,-73.97264594949996,22.1%,52%
"MULTILINESTRING ((-73.93788312299995 40.788611726000056, -73.93816140199993 40.78798980100004))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Manhattan,Bernice Singletary Square,,Female,"Bernice Singletary migrated with her husband to New York in 1958 and worked with Marionat Bridal Veils, Inc. as a seamstress and later at the Board of Education as a Paraprofessional from 1968 until her retirement in June 1995.  She also served as the Wo","The Service Road of the Franklin D. Roosevelt Drive from East 106th Street to East 105th Street,",10029,Mark-Viverito,,"MULTILINESTRING ((-73.93788312299995 40.788611726000056, -73.93816140199993 40.78798980100004))",POINT (-73.93802226249994 40.78830076350005),40.78830076350005,-73.93802226249994,26.5%,52%
"MULTILINESTRING ((-73.90189977999995 40.86454314100007, -73.90168520299994 40.86440926300003, -73.90151354199998 40.86432204000005, -73.90125272199998 40.86421436300003))",Int. No. 564-A,12/04/2001,2001,2001/060,Street,Bronx,Almetha M. Reed Place,West 190th Street,Female,"The following biographical information was provided by the Reed family. 

Almetha Melinda Reed was born to Matthew and Netha Polite, on October 4, 1928, in Savannah, Georgia where she attended the East Broad Elementary School and graduated from Beach-Kyl",between Davidson Avenue and Grand Avenue,10468,"Carrion, Eisland, Warden and Abel",,"MULTILINESTRING ((-73.90189977999995 40.86454314100007, -73.90168520299994 40.86440926300003, -73.90151354199998 40.86432204000005, -73.90125272199998 40.86421436300003))",POINT (-73.9015826413456 40.86436628682608),40.86436628682608,-73.9015826413456,25.5%,53%
"MULTILINESTRING ((-73.89338317999994 40.75278539400006, -73.89306399699996 40.750972948000026, -73.89306394999994 40.750972682000054))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Queens,Mary Sarro Way,73rd Street,Female,"Mary Sarro was a Community Board 3 District Manager for nearly four decades.  She was very active in the Jackson Heights community.  She worked at the 1964-1965 World’s Fair at Flushing Meadows-Corona Park, and as a social secretary for Edward Bronfman",Between 34th Avenue and 35th Avenue,11372,Dromm,,"MULTILINESTRING ((-73.89338317999994 40.75278539400006, -73.89306399699996 40.750972948000026, -73.89306394999994 40.750972682000054))",POINT (-73.89322356507546 40.751879037986726),40.751879037986726,-73.89322356507546,17.6%,51%
"MULTILINESTRING ((-73.89917529899998 40.82560618500003, -73.89976538499997 40.824163775000045))",Int. No. 988,07/29/2018,2018,2018/139,Street,Bronx,The Chantels Hit Record “Maybe”,Prospect Avenue,Female,"“Maybe” by The Chantels was written in by Arlene Smith when she was 16 years old.  It was recorded at a church in midtown Manhattan in October 1957, while the group were all still in high school at St. Anthony of Padua in the Bronx.  The song was rel",Between 165th Street and 166th Street,10459,"Salamanca, Jr.",,"MULTILINESTRING ((-73.89917529899998 40.82560618500003, -73.89976538499997 40.824163775000045))",POINT (-73.89947034199997 40.82488498000003),40.82488498000003,-73.89947034199997,25.5%,53%
"MULTILINESTRING ((-73.88555573899998 40.84661390200006, -73.88497369999999 40.84730984300006))",Int. No. 897,03/19/2023,2023,2023/044,Street,Bronx,Mary Mitchell Way,Mapes Avenue,Female,"Mary Mitchell served the community during the most difficult years of the 1960's, 70's and 80's. She did it from an old garment warehouse where The Mary Mitchell Family and Youth Center now stands. She served the East Tremont Avenue and Crotona Avenue co",Between East 180th Street and East 181st Street,10460,Feliz,,"MULTILINESTRING ((-73.88555573899998 40.84661390200006, -73.88497369999999 40.84730984300006))",POINT (-73.88526471949999 40.84696187250007),40.84696187250007,-73.88526471949999,25.5%,53%
"MULTILINESTRING ((-73.94659544099994 40.838053810000076, -73.94436920699997 40.83712034600006))",Int. No. 897,03/19/2023,2023,2023/044,Street,Manhattan,Agripina Núñez Way,West 161st Street,Female,Agripina Núñez immigrated to the United States in 1975. She was a parishioner of the Our Lady of Esperanza Church in Manhattan for 44 years and was very involved in causes for the poor and underserved communities. She served as president of the 894 Riv,Between Riverside Drive and Fort Washington Avenue,10032,Abreu,,"MULTILINESTRING ((-73.94659544099994 40.838053810000076, -73.94436920699997 40.83712034600006))",POINT (-73.94548232399995 40.83758707800007),40.83758707800007,-73.94548232399995,26.5%,52%
"MULTILINESTRING ((-74.00016006699997 40.74279071500007, -73.99754652199994 40.74170146400007))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Manhattan,Jane Wood's Way,West 19th Street,Female,"Jane Wood, a legendary tenant activist in Chelsea, passed away at age 96 this year. She was a passionately committed activist whose work was the like of which we may never see again. Whether one agreed with Wood’s leftist politics or not, one could not",between 7th Avenue and 8th Avenue,10001,Quinn,,"MULTILINESTRING ((-74.00016006699997 40.74279071500007, -73.99754652199994 40.74170146400007))",POINT (-73.99885329449995 40.74224608950007),40.74224608950007,-73.99885329449995,26.5%,52%
"MULTILINESTRING ((-73.75370613899997 40.60954658800006, -73.75414065699994 40.608119173000034))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Queens,Lois Sanders Drive,Beach Channel Drive,Female,"Lois sanders was born in Quitman, Mississippi and moved to New York City in 1941.  She was an active member of the Lenox Avenue Church of God where she met the love of her life, James Sanders, Sr., and married him after just two weeks.  In 1955, they mov",Between Nameoke Street and Horton Avenue,11691,Sanders,,"MULTILINESTRING ((-73.75370613899997 40.60954658800006, -73.75414065699994 40.608119173000034))",POINT (-73.75392339799996 40.608832880500046),40.608832880500046,-73.75392339799996,17.6%,51%
"MULTILINESTRING ((-73.99730195399997 40.66096739100004, -73.99524857399996 40.65972171100003))",Int. No. 968,07/20/2024,2024,2024/081,Street,Brooklyn,Ijaira Z. Gonzalez Street,24th Street,Female,"Ijaira Z. Gonzalez was a community activist in Sunset Park. She was a summer camp counselor at PS 1 and PS 24 and created the 24th Street Festival in 2006 and was the inspiration for the creation of the Carnval Del Barrio festival. In 2013, she created J",Between 4th Avenue and 5th Avenue,11232,Avilés,,"MULTILINESTRING ((-73.99730195399997 40.66096739100004, -73.99524857399996 40.65972171100003))",POINT (-73.99627526399996 40.66034455100004),40.66034455100004,-73.99627526399996,22.1%,52%
"MULTILINESTRING ((-73.88463620899995 40.73386072200003, -73.88392166899996 40.733594065000034))",Int. No. 613,05/09/2005,2005,2005/043,Street,Queens,Genevieve “Jean” Albetta Way,Calamus Avenue,Female,"Genevieve (Jean) albetta was a long-time school crossing guard at the corner of 84th Street and Grand Avenue in Elmhurst for St. Adalbert’s School.  A vibrant and active participant in community affairs, she loved her neighborhood and could be found at",Between Grand and Ankener Avenues,11373,Katz,,"MULTILINESTRING ((-73.88463620899995 40.73386072200003, -73.88392166899996 40.733594065000034))",POINT (-73.88427893899996 40.73372739350003),40.73372739350003,-73.88427893899996,17.6%,51%
"MULTILINESTRING ((-73.99255297999997 40.703295592000075, -73.99257264899995 40.70264762000005))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Brooklyn,Jane Walentas Way,Dock Street,Female,Jane Walentas was the founder of Jane's Carousel in Brooklyn Bridge Park. She was a DUMBO resident and community builder. She worked as an Art Director for many years in cosmetics and fashion before embarking on the task of restoring the Carousel. She re,Between Front Street and Water Street,11201,Restler,,"MULTILINESTRING ((-73.99255297999997 40.703295592000075, -73.99257264899995 40.70264762000005))",POINT (-73.99256281449996 40.70297160600006),40.70297160600006,-73.99256281449996,22.1%,52%
"MULTILINESTRING ((-73.79070587199993 40.724261683000066, -73.78304548299997 40.72677409500005, -73.78216035399998 40.72716842900007, -73.78195026999998 40.72726202300004, -73.78069854999995 40.72769285000004))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Queens,Arlene Fuchs Katz Drive,80th Drive,Female,"Arlene Fuchs Katz was a longtime community activist in Queens who lived in Jamaica Estates. Ms. Katz taught fifth and sixth grades at Public School 131 for 25 years and was a moving force in having the school named in honor of Abagail Adams, wife to Pres",between 188th Street and Utopia Parkway,11423,Gennaro and Weprin,,"MULTILINESTRING ((-73.79070587199993 40.724261683000066, -73.78304548299997 40.72677409500005, -73.78216035399998 40.72716842900007, -73.78195026999998 40.72726202300004, -73.78069854999995 40.72769285000004))",POINT (-73.78568549870636 40.72593289653217),40.72593289653217,-73.78568549870636,17.6%,51%
"MULTILINESTRING ((-73.92500583699996 40.67468693100005, -73.92507825699994 40.67390374200005))",Int. No. 1188-A,12/17/2013,2013,2013/131,Street,Brooklyn,Dr. Joan Maynard Way,Buffalo Avenue,Female,"Joan Maynard’s life work was preserving a 19th century settlement of free blacks in Brooklyn.  She was the driving force behind the preservation of Weeksville, the pre-Civil War community of freed slaves on the edge of Crown Heights, just south of Bedf",Between St. Marks Avenue and Bergen Street,11233,Vann,,"MULTILINESTRING ((-73.92500583699996 40.67468693100005, -73.92507825699994 40.67390374200005))",POINT (-73.92504204699995 40.67429533650005),40.67429533650005,-73.92504204699995,22.1%,52%
"MULTILINESTRING ((-73.89183126999995 40.74889183800008, -73.89145576099997 40.74704270900003))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Queens,Kalpana Chawla Way,74th Street,Female,"Kalpana Chawla was born on August 1, 1961 in Karnal, India. She graduated from Tangore School, India. Kalpana continued her education earning a Bachelor of Science degree from Punjab Engineering College, a Master of Science degree from the University of",between Roosevelt Avenue and 37th Avenue,11372,Sears,,"MULTILINESTRING ((-73.89183126999995 40.74889183800008, -73.89145576099997 40.74704270900003))",POINT (-73.89164351549996 40.74796727350005),40.74796727350005,-73.89164351549996,17.6%,51%
"MULTILINESTRING ((-73.94952223399997 40.80695102800007, -73.94710824499998 40.805944038000064))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Manhattan,Mother Clara Hale Street,West 122nd Street,Female,"Mrs. Clara Hale better known as “Mommy” Hale was considered a savior to many. Born in April 1 1905, she was raised to be a nurturing, loving, and comforting woman. In 1940, she fostered children in her five-room apartment. As problems with the drug a","between Malcolm X Boulevard and Adam Clayton Powell, Jr. Boulevard",10027,Perkins,,"MULTILINESTRING ((-73.94952223399997 40.80695102800007, -73.94710824499998 40.805944038000064))",POINT (-73.94831523949998 40.80644753300007),40.80644753300007,-73.94831523949998,26.5%,52%
"MULTILINESTRING ((-73.89684918199998 40.834392586000035, -73.89561238599998 40.83498335500008, -73.89523985699998 40.83534187200007))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Bronx,Juanita Hamilton Place,Crotona Park East,Female,"Juanita Hamilton was employed at Labor Bathgate Housing Organization as a community organizer.  In 1968, due to her community involvement, she was voted as the secretary for the 48th precinct community council in which she served for 7 years.  In 1969, s",Between Wilkins Avenue and Prospect Avenue,10457,Gibson,,"MULTILINESTRING ((-73.89684918199998 40.834392586000035, -73.89561238599998 40.83498335500008, -73.89523985699998 40.83534187200007))",POINT (-73.8960103912343 40.83481797268543),40.83481797268543,-73.8960103912343,25.5%,53%
"MULTILINESTRING ((-73.96721031199996 40.594588370000054, -73.96694745599996 40.59319526000007))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Brooklyn,Sister Jane Talbot Way,East 4th Street,Female,"Sister Jane Talbot began her career as a teacher and found herself drawn to a life mission of serving the poor, sick, and needy.  In 1956, she made her final vows as a Sister of Mercy and joined the Pastoral Ministry of Our Lady of Grace Church where she",Between Avenue W and Gravesend Neck Road,11223,"Recchia, Jr.",,"MULTILINESTRING ((-73.96721031199996 40.594588370000054, -73.96694745599996 40.59319526000007))",POINT (-73.96707888399996 40.59389181500006),40.59389181500006,-73.96707888399996,22.1%,52%
"MULTILINESTRING ((-73.95486332199994 40.734471375000055, -73.95268775299996 40.73467687500005))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Brooklyn,The Irene Klementowicz Way,Freeman Street,Female,"Irene Klementowicz was born in the Bronx and later moved to Greenpoint, Brooklyn with her family. It was around this same time that Irene began noticing the amount of soot that was being deposited on her windows every day, a result of the Greenpoint inci",Between Manhattan Avenue and McGuinness Boulevard,11222,Restler,,"MULTILINESTRING ((-73.95486332199994 40.734471375000055, -73.95268775299996 40.73467687500005))",POINT (-73.95377553749995 40.73457412500005),40.73457412500005,-73.95377553749995,22.1%,52%
"MULTILINESTRING ((-73.94046794499997 40.78896674300006, -73.94006896599996 40.789520122000056))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Manhattan,Bernice Singletary Square,,Female,"Bernice Singletary migrated with her husband to New York in 1958 and worked with Marionat Bridal Veils, Inc. as a seamstress and later at the Board of Education as a Paraprofessional from 1968 until her retirement in June 1995.  She also served as the Wo",First Avenue between East 105th Street and East 106th Street,10029,Mark-Viverito,,"MULTILINESTRING ((-73.94046794499997 40.78896674300006, -73.94006896599996 40.789520122000056))",POINT (-73.94026845549996 40.78924343250006),40.78924343250006,-73.94026845549996,26.5%,52%
"MULTILINESTRING ((-73.82099729799995 40.69948761200004, -73.82016825199997 40.69978339200003))",Int. No. 932,12/18/2001,2001,2001/068,Street,Queens,Sylvia Simowitz Way,89th Road,Female,"The following biographical information was provided by Samaritan Village in 
Richmond Hill, Queens.
10
Sylvia Simowitz was born in 1919. Throughout her life she gave unsparingly of 
her time and energy to the various community organizations with which sh",between 130th Street and 132nd Street,11418,"White and Marshall; also, Council Members Koslowitz, O’Donovan and Povman",,"MULTILINESTRING ((-73.82099729799995 40.69948761200004, -73.82016825199997 40.69978339200003))",POINT (-73.82058277499996 40.699635502000035),40.699635502000035,-73.82058277499996,17.6%,51%
"MULTILINESTRING ((-73.89891703099994 40.668744023000045, -73.89857078199998 40.66736429600007))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Brooklyn,Tajmere Clark Way,Williams Avenue,Female,Tajmere Clark was a little girl full of energy and had her own unique way of doing things.  Her memory will never be forgotten and will be cherished by everyone who knew her.,Between Blake Avenue and Sutter Avenue,11207,Barron,,"MULTILINESTRING ((-73.89891703099994 40.668744023000045, -73.89857078199998 40.66736429600007))",POINT (-73.89874390649996 40.66805415950006),40.66805415950006,-73.89874390649996,22.1%,52%
