Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes
"MULTILINESTRING ((-73.95493509199997 40.81011459300004, -73.95455529099996 40.81063592300006))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Manhattan,Reverend Walter L. Harding Place,Morningside Avenue,Male,"Reverend Dr. Walter L. Harding served as pastor of the St. Like Baptist Church from February 1938 through October 1991 for a period of 53 years. Reverend Harding’s selfless dedication and contributions have been recognized by many, including Presidents",Between West 123rd and West 124th Streets,10027,Perkins,
"MULTILINESTRING ((-73.85694034099998 40.89418771100003, -73.85730780399996 40.893510511000045))",Int. No. 2187,01/17/2021,2021,2021/014,Street,Bronx,Bishop Michel White Way,White Plains Road,Female,Bishop Michel White was the founder and pastor of the Cathedral at Greater Faith and served the Bronx community for over 30 years.  Her contributions were numerous as she worked tirelessly to support less fortunate members in the community by hosting an,Between 233rd Street and 234th Street,10466,Cohen,
"MULTILINESTRING ((-73.88826284299995 40.85474260800004, -73.88930890499995 40.85353549400003))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Bronx,Madonia Road,Arthur Avenue,Group,"Madonia Bakery was established in the Bronx in 1918, selling traditional Italian breads and later expanding to desserts. Through its existence, the bakery has lasted through economic downturns and ownership changes. Still, the bakery draws many foodies a",Between 186th Street and 184th Street,10458,Feliz,
"MULTILINESTRING ((-73.96836083799997 40.79152026700007, -73.96574434299998 40.79041455400005))",Int. No. 825,10/10/2008,2008,2008/048,Street,Manhattan,Doris Rosenblum Way,South side of West 94th Street,Female,"Doris Rosenblum was an original member of the Mitchell Lama Residents’ Council, and for six years, served as co-chair.  She served as President of the Stryckers Bay Neighborhood Council, an organizations that supports affordable housing.  Ms. Rosenblum",Between Columbus Avenue and Central Park West,10025,Brewer,
"MULTILINESTRING ((-73.89503463699998 40.66468080300007, -73.89515086599994 40.665137446000074, -73.89524172399996 40.66549440700004, -73.89532781299994 40.66583263100006, -73.89542487999995 40.666213982000045, -73.89546515599994 40.66637221500008, -73.89547860999994 40.666425074000074, -73.89548825399999 40.66646296400006, -73.89558803199998 40.66685496000008, -73.89578363999993 40.667623441000046, -73.89590558599997 40.66810252500005, -73.89603261299999 40.66860156400003, -73.89618534199997 40.66920157100003, -73.89629886099993 40.669647535000024, -73.89642328399998 40.67013633500005, -73.89653154299998 40.67056162800003, -73.89663949199996 40.67095823300008, -73.89682126099996 40.67167230100006, -73.89701864999995 40.67244772300006, -73.89715903399997 40.67299920000005, -73.89721871699999 40.67321846600004, -73.89744988899997 40.67412658000006, -73.89757110999994 40.674602769000046, -73.89766778299997 40.67498252200005, -73.89781708599998 40.675569015000065, -73.89793317999994 40.67602505200006, -73.89812446699995 40.67677645400005, -73.89820683699998 40.67707905100008))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Brooklyn,Mary Warren Place,Sheffield Avenue,Female,"Ms. Warren began her long career in community service with the New York City Housing Authority.  In her thirteen years there, she worked as a Community Associate, Community Liaison, and Community Service Aide.  During this time, Ms. Warren aided the East",between Fulton Street and Livonia Avenue,11207,Barron,
"MULTILINESTRING ((-73.94448068599996 40.80318350500005, -73.94311275999996 40.80262516400006))",Int. No. 388,07/09/2014,2014,2014/034,Street,Manhattan,Bishop Dr. Ezra Nehemiah Williams Way,East 120th Street,Male,Bishop Dr. Ezra Nehemiah Williams was born and raised in Harlem and was a graduate of the Manhattan Bible Institute of New York City.  He received an Honorary Doctorate from Alliance Theological Seminary and served as a former National President and Pres,Between 5th Avenue and Madison Avenue,10027,Dickens,
"MULTILINESTRING ((-73.98124106799997 40.72504454600005, -73.98160316599996 40.72455059600003))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,Avenues for Justice Way,Avenue B,Group,Avenues for Justice formerly known as the Andrew Glover Youth Program has served the Lower East Side for over 40 years having been founded in the 1970's. The organization was originally named in honor of police officer Andrew Glover of the 9th precinct w,Between 6th Street and 7th Street,10009,Rivera,
"MULTILINESTRING ((-73.94468352799998 40.705694151000046, -73.94457892199995 40.70508009100007))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Brooklyn,Pomus Place,Manhattan Avenue,Male,"Jerome Solon Felder, better known as Doc Pomus, was an American blues singer and songwriter.  He was born in Brooklyn and was a fan of the blues.  As a child, he had polio and used crutches to walk.  He began performing as a teenager, becoming a blues si",Between McKibbin Street and Boerum Street,11206,Reyna,
"MULTILINESTRING ((-73.85024361999996 40.68296180300007, -73.84984665299999 40.682135996000056))",Int. No. 1300,01/20/2019,2019,2019/024,Street,Queens,Chief Ronald Spadafora Way,90th Street,Male,Ronald Spadafora was a 40-year veteran of the FDNY who supervised rescue and recovery efforts at Ground Zero and was the chief of safety for the entire 9/11 recovery operation.  He died of 9/11 related illnesses.,Between Rockaway Boulevard and 101st Avenue,11416,Ulrich,
"MULTILINESTRING ((-73.99597767499995 40.69908410600004, -73.99571615899998 40.69961484800007))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Brooklyn,Emily Warren Roebling Way,Columbia Heights,Female,"Emily Warren Roebling married Washington Roebling on January 18, 1865.  Her father-in-law, John A. Roebling was undertaking the construction of the Brooklyn Bridge, but died in an unexpected accident.  Emily’s husband took over the role of Chief Engine",Between Pineapple Street and Orange Street,11201,Levin,good example
"MULTILINESTRING ((-74.00736147299995 40.60261236400004, -74.00525862099994 40.60149638300004))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Brooklyn,Victor V. Allegretti Way,Cropsey Avenue,Male,"Mr. Allegretti served on Community Board 11 in Brooklyn for many years and made outstanding contributions to the quality of life to the residents of the community.  He was the President of Bayside Fuel Oil Corp., one of the largest independent fuel oil c",between 18th Avenue and 19th Avenue,11214,Oddo,
"MULTILINESTRING ((-73.93955162399999 40.838704482000026, -73.93846264799998 40.83806121200007))",Int. No. 988,07/29/2018,2018,2018/139,Street,Manhattan,Luís Días Way,165th Street,Male,"Luís Días was a Dominican folk and rock guitarist, singer and composer.  He was an influential musician in both the traditional and contemporary music area. He began as guitarist and singer for the band Convite but went on to become the most important",Between Audubon Avenue and Amsterdam Avenue,10032,Rodriguez,
"MULTILINESTRING ((-73.95628987399994 40.705406563000054, -73.95576416099993 40.70491653400006))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Brooklyn,Rev. Bryan J. Karvelis Way,Marcy Avenue,Male,Rev. Bryan J. Karvelis led the Parish of the Transfiguration and was a consummate pillar of the community who dedicated his life improving the neighborhood in a variety of ways. From his work in founding the Southside Mission to his help in opening Casa,Between Hewes and Hooper Streets,11211,Reyna,
"MULTILINESTRING ((-73.90649658299998 40.81469104700005, -73.90576433999996 40.81454894900003))",Int. No. 935,10/02/2012,2012,2012/048,Street,Bronx,Doris S. Torres Way,East 147th Street,Female,"On September 11, 2001, Doris S. Torres was working at Fiduciary Trust International on the 97th floor of the South Tower at the World Trade Center (WTC).  During the devastating attacks on the WTC, Ms. Torres helped an emotional colleague down a few flig",Between Wales Avenue and Tinton Avenue,10455,Arroyo,
"MULTILINESTRING ((-73.98191711599998 40.74323262100006, -73.98054382499998 40.742647358000056))",Int. No. 849,08/10/2015,2015,2015/076,Street,Manhattan,Rabbi Sidney Kleiman Way,East 29th Street,Male,Rabbi Sidney Kleiman was the longest serving and oldest active congregational Rabbi in the United States before he died at the age of 100.  He led the antebellum Adereth El from 1939 until 1999.,Between Lexington Avenue and Third Avenue,11216,Mendez,
"MULTILINESTRING ((-73.94044488399999 40.78891092500004, -73.93823541399996 40.787981847000026))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Manhattan,Bernice Singletary Square,,Female,"Bernice Singletary migrated with her husband to New York in 1958 and worked with Marionat Bridal Veils, Inc. as a seamstress and later at the Board of Education as a Paraprofessional from 1968 until her retirement in June 1995.  She also served as the Wo",East 105th Street between First Avenue and the Service Road of the Franklin D. Roosevelt Drive,10029,Mark-Viverito,
"MULTILINESTRING ((-73.95243804599994 40.80231414800005, -73.95035665199998 40.801432971000054))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Manhattan,"Bishop Preston R. Washington, Sr. Street",West 115th Street,Male,"Bishop Preston R. Washington Sr. was raised in East Harlem in the New York City public school system. He graduated summa cum laude from Williams College in Williamstown, Mass., received his masters of divinity degree from Union Theological Seminary and h",between St. Nicholas Avenue and Lenox Avenue,10026,Perkins,
"MULTILINESTRING ((-73.92251599299993 40.66843016200005, -73.91996252999996 40.66949619900004))",Int. No. 1300,01/20/2019,2019,2019/024,Street,Brooklyn,Bishop Landon E. Penn Way,Eastern Parkway,Male,Bishop Landon E. Penn founded the Universal Temple Church of God in Crown Heights in 1969.  He served as a liaison between the Crown Heights community and the NYPD and founded public housing and drug prevention programs and provided food and clothing for,Between Ralph Avenue and Howard Avenue,11233,Ampry-Samuel,
"MULTILINESTRING ((-73.92854534699995 40.86251957300004, -73.92743491299996 40.86079532100007))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Manhattan,Santiago Cerόn Way,Sickles Street,Male,"Santiago Cerόn was the Dominican Republic’s first internationally known salsa singer.  He was best known for his hit song, “De Borojol le traigo un son.”  He was born in Santo Domingo and later studied at the Bellas Artes.  He worked as an exclusi",Between Sherman Avenue and Nagle Avenue,10040,Rodriguez,
"MULTILINESTRING ((-73.94565848399998 40.79622784900005, -73.94343225099993 40.79930892600004))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Manhattan,Paseo Boricua,Park Avenue,Group,This co-naming will commemorate the Puerto Rican community and recognize the contributions that have been made and they continue to make in the future.,Between 111th Street and 116th Street,10029,Ayala,
"MULTILINESTRING ((-73.94782053999995 40.66874387100006, -73.94788848899998 40.66800333500004))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Brooklyn,The English Way,New York Avenue,Female,"Dr. Josephine English moved to Brooklyn in 1956 after graduating from medical school and working in Manhattan. She opened a women’s clinic in Bushwick and delivered thousands of babies, including the daughter of former United States Secretary of Commer",Between President Street and Union Street,11213,Hudson,
"MULTILINESTRING ((-73.73749021199995 40.698285535000025, -73.73665604499996 40.699889969000026))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Betty Davis Street,221st Street,Female,"Betty Myrl Victoria Davis was the youngest of eleven siblings, six girls and five boys, born to George and Irene Davis on August 2, 1938. She grew up in her birthplace of Mavis Bank, Kingston, Jamaica never knowing her father who died when she was only t",Between 115th Road and 115th Avenue,11411,Comrie,
"MULTILINESTRING ((-73.96178275399996 40.61267000200007, -73.96099994599996 40.612754464000034))",Int. No. 825,10/10/2008,2008,2008/048,Street,Brooklyn,St. Brendan Way,Avenue O,Group,"St. Brendan’s has been serving the Midwood community of Brooklyn as a Roman Catholic Church since 1907 as a place of worship, education and housing.",Between East 12th Street and East 13th Street,11230,Nelson,
"MULTILINESTRING ((-73.95696767199996 40.66044592600008, -73.96049209499995 40.66022211100005))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Brooklyn,Ebenezer “Ben” Edwards Way,Maple Street,Male,"Ben Edwards was one of the hardest working, committed, and productive public servants of Brooklyn. He was the long-serving president of the Lefferts Manor Association (LMA). He led an organization whose core mission was to uphold and defend the one-famil",Between Flatbush Avenue and Bedford Avenue,11225,Eugene,
"MULTILINESTRING ((-73.90643003099996 40.71806671500008, -73.90424671299996 40.718383851000056))",Int. No. 761-A,03/07/2012,2012,2012/014,Street,Queens,Detective Kevin Czartoryski Place,59th Road,Male,"Kevin Czartoryski began his career with the NYPD in 1988.  After his outstanding work in the Narcotics Division, he was promoted to Detective.  He later became a Detective Second Grade and received several honors and proclamations from the New York City",Between 60th Street and 60th Lane,11378,Crowley,
"MULTILINESTRING ((-73.77699922599999 40.68630265300004, -73.77503227299997 40.686967054000036))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Ethel L. Cuff Black Way,Foch Boulevard,Female,"Ethel L. Cuff Black was an educator and one of the founders of Delta Sigma Theta sorority, which now has 600 chapters and 95,000 members worldwide. She became the first African-American school teacher in Richmond Hills where she taught for over 27 years.",Between Merrick Boulevard and 170th Street,11434,Williams,
